name,ra,dec,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z,yAperMag3_AB,yAperMag3Err_AB
SDSS J100325.71-011446.2,150.85713699652692,-1.2461903208868208,20.638346,0.06309164,17.962404,0.021667028,16.83332,0.013436938,16.428553,0.011803043,16.186071,0.0204617,16.0989,0.0049281814
SDSS J095526.52-011530.7,148.86050634588136,-1.2585331221453573,18.814291,0.023664426,17.418798,0.016969955,16.867878,0.015743576,16.646927,0.011728785,16.56399,0.013981899,16.5687,0.007336862
SDSS J100346.80-011225.1,150.94503889130726,-1.2069847216597573,18.053045,0.019190848,16.563618,0.019000221,15.939022,0.013056465,15.715298,0.013370859,15.5963125,0.017072184,15.5742,0.0037283385
SDSS J100344.72-011508.8,150.9363527656364,-1.2524621966343201,20.78932,0.079466805,18.330875,0.01976507,17.336685,0.013451488,16.982409,0.013756646,16.825752,0.019107714,16.7267,0.0070910775
SDSS J100346.74-011330.3,150.94478611113806,-1.2250857803637727,19.544243,0.030778578,18.384958,0.019828998,17.874134,0.013866188,17.685,0.014405442,17.632925,0.023948181,17.6165,0.012614802
SDSS J100349.28-011306.3,150.95534046036016,-1.2184337404072043,19.73629,0.034968812,18.57772,0.020074714,18.065268,0.014180175,17.864239,0.015708765,17.775723,0.027846362,17.8396,0.014741528
SDSS J100331.28-011237.6,150.88033966723012,-1.2104533763929368,21.115332,0.09574045,19.88978,0.02649815,19.399773,0.01877874,19.22726,0.020356093,19.125978,0.06260966,19.1175,0.039823253
SDSS J100358.29-011159.5,150.99291185688003,-1.199883425733328,20.38954,0.054895,19.433914,0.022254374,18.924265,0.016087836,18.709665,0.017507287,18.626856,0.042021945,18.5722,0.025515337
SDSS J100359.90-011017.6,150.9996136742847,-1.1715682189798233,20.379688,0.05433417,18.197578,0.019651966,17.223873,0.013386982,16.854832,0.013677167,16.613432,0.018405057,16.5473,0.006326507
SDSS J100335.42-011008.9,150.89761618166511,-1.1691602860314214,21.58617,0.14193945,19.986206,0.02728483,19.348524,0.018390302,19.082031,0.018807637,18.937952,0.053684715,18.8832,0.032865386
SDSS J095457.21-004720.0,148.7383866078441,-0.7889024181957487,19.058784,0.028513832,16.689161,0.020540008,15.702377,0.010884335,15.373236,0.01011546,15.198523,0.011986402,15.1204,0.0031511688
SDSS J095449.88-004713.8,148.70787183745514,-0.7871755878551135,18.288097,0.021614281,16.684734,0.020545501,16.068045,0.010942686,15.809367,0.01018533,15.693618,0.012322253,15.6853,0.004390913
SDSS J095455.93-004722.1,148.73306278743846,-0.7894900160209557,21.593895,0.17752372,18.610544,0.021970965,17.177866,0.012208848,16.007765,0.010607824,15.363952,0.012345352,15.1513,0.0032050149
SDSS J095456.04-004718.0,148.73353941518752,-0.7883447728921205,20.059574,0.048792083,17.313896,0.02262478,15.87696,0.016196696,15.0101795,0.020374896,14.530391,0.016978148,14.3603,0.0020833495
SDSS J095431.91-004907.8,148.63298769748556,-0.818842553928898,21.970804,0.20097567,19.32448,0.019794654,17.946218,0.019287055,17.351254,0.012137509,16.979307,0.0145701645,16.8646,0.008197381
SDSS J095434.77-004920.2,148.64489290595978,-0.822283012717174,20.779938,0.07500891,18.81645,0.018420106,17.940474,0.019310486,17.62199,0.012440853,17.407791,0.017139431,17.3975,0.011849184
SDSS J095435.39-004843.3,148.6474765286641,-0.8120450363415395,19.408943,0.029857296,17.420948,0.017055608,16.650066,0.018762806,16.417923,0.011601316,16.273619,0.0124087185,16.2497,0.006297905
SDSS J095441.83-004933.5,148.67431029539392,-0.8259724792090394,18.996857,0.025813635,16.890018,0.020587068,16.115604,0.010965192,15.895981,0.010226005,15.760935,0.012394412,15.7243,0.0044938
SDSS J095442.91-004833.3,148.67880061092953,-0.8092530399276892,17.269718,0.018759327,15.380329,0.020436823,14.656187,0.01080553,14.374262,0.010038361,14.225416,0.011683918,14.1457,0.0018591447
SDSS J095447.88-004928.9,148.69951216992038,-0.8247080272654715,18.567415,0.023214182,17.512945,0.020743517,17.1801,0.011318965,17.075878,0.010690364,17.029268,0.015349566,17.1371,0.011979568
SDSS J095452.09-004744.2,148.71707025778906,-0.7956249396089172,16.291592,0.017691325,15.119067,0.020428307,14.747021,0.010809046,14.634516,0.010055258,14.61982,0.011774346,14.6389,0.002409353
SDSS J095430.19-004954.8,148.62582059052838,-0.8319052437130451,20.039562,0.04367544,18.53141,0.017934589,17.949852,0.019328857,17.761003,0.012643517,17.657787,0.019375892,17.6477,0.014140419
SDSS J095512.97-004501.9,148.8040569630418,-0.7505371059481668,19.580008,0.03479619,16.958738,0.020594623,15.871799,0.010899578,15.451326,0.0101251155,15.232734,0.012004435,15.1603,0.0030291856
SDSS J095513.10-004911.9,148.8045961843936,-0.8199978990011885,21.884083,0.1892582,19.241978,0.022690095,17.94579,0.011945382,17.336744,0.010923054,16.99068,0.015154096,16.8459,0.008295911
