name,ra,dec,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z,yAperMag3_AB,yAperMag3Err_AB
SDSS J104550.71-005638.0,161.4612952507818,-0.9438956747409288,19.808453,0.036939807,18.129208,0.020455563,17.462498,0.020416029,17.190989,0.013268199,17.032639,0.020658163,17.0803,0.0075590652
SDSS J104607.18-005631.0,161.5299338622678,-0.9419575297956242,17.2846,0.03443951,16.07851,0.029125968,15.655349,0.030633723,15.496073,0.025838565,15.434161,0.028817313,15.4645,0.003144338
SDSS J104609.97-005831.7,161.54157716974868,-0.9754812522262921,19.008116,0.030196596,16.746769,0.019998847,15.935283,0.02014284,15.661145,0.012810479,15.532183,0.018504279,15.4832,0.0031699163
SDSS J104615.08-005437.1,161.56287402977597,-0.9103184404001884,18.789886,0.029172176,17.805077,0.020240108,17.393608,0.020381616,17.22602,0.013298618,17.192867,0.02102854,17.2567,0.008405591
SDSS J104504.89-005919.1,161.27039460657178,-0.9886409543826242,22.136978,0.160774,21.101233,0.040793557,20.670261,0.040796828,20.476898,0.04871693,21.052254,0.29740414,20.3618,0.08752898
SDSS J104542.15-005927.8,161.42564870375466,-0.9910833315670222,18.82288,0.029130207,17.961796,0.020378627,17.553879,0.02046252,17.406147,0.013432444,17.330372,0.021884216,17.4619,0.009536296
SDSS J104545.06-005713.8,161.43775734929,-0.9538455405518512,18.812117,0.029021787,17.387648,0.020146186,16.86515,0.02025969,16.671885,0.013022003,16.574017,0.019397398,16.6492,0.005861457
SDSS J104545.76-005828.3,161.44070333644606,-0.9745331341529747,17.55704,0.02602635,16.639532,0.019998608,16.266747,0.020182308,16.133667,0.013074521,16.074612,0.019388787,16.1832,0.0045394823
SDSS J104539.25-005912.6,161.4135597276218,-0.9868607441477748,22.340593,0.18825313,20.464146,0.029226942,19.474815,0.020373791,19.099802,0.018573381,18.893398,0.044598415,18.9401,0.027253833
SDSS J104558.72-010254.7,161.4946924460823,-1.0485385753253804,19.75961,0.036755897,18.282299,0.020545423,17.65292,0.020501405,17.42661,0.013481847,17.311579,0.021997921,17.3879,0.009108699
